ticker,cap_tier,group,step_n_features,feature_combo,state,feature_index,feature_name,mu,sigma,occupancy_pct
HD,large,vol,3,daily return + rolling volatility + absolute return,0,0,daily return,-0.011281038006238872,0.012411215655617385,46.91305276650289
HD,large,vol,3,daily return + rolling volatility + absolute return,0,1,rolling volatility,0.014258283382567774,0.008624122190378785,46.91305276650289
HD,large,vol,3,daily return + rolling volatility + absolute return,0,2,absolute return,0.011336266634004935,0.012360790886961659,46.91305276650289
HD,large,vol,3,daily return + rolling volatility + absolute return,1,0,daily return,0.01126225210883508,0.012444842044171737,53.08694723349711
HD,large,vol,3,daily return + rolling volatility + absolute return,1,1,rolling volatility,0.013940762960418119,0.00827301746596092,53.08694723349711
HD,large,vol,3,daily return + rolling volatility + absolute return,1,2,absolute return,0.011275537465484705,0.01243280623720146,53.08694723349711
HD,large,bb,1,20-day return,0,0,20-day return,-0.03831029940765362,0.05310861286211258,52.235628105039034
HD,large,bb,1,20-day return,1,0,20-day return,0.07102377117334199,0.048436455193834965,47.764371894960966
HD,large,bb,2,20-day return + 60-day return,0,0,20-day return,-0.022107186238594936,0.08676004411054651,39.957416607523065
HD,large,bb,2,20-day return + 60-day return,0,1,60-day return,-0.0746330337819906,0.06769886908384852,39.957416607523065
HD,large,bb,2,20-day return + 60-day return,1,0,20-day return,0.03735911571478348,0.053198120283564014,60.042583392476935
HD,large,bb,2,20-day return + 60-day return,1,1,60-day return,0.1107446959713222,0.07864559440717601,60.042583392476935
HD,large,bb,3,20-day return + 60-day return + 100-day return,0,0,20-day return,-0.01702941530476006,0.08588287794853561,43.64797728885735
HD,large,bb,3,20-day return + 60-day return + 100-day return,0,1,60-day return,-0.0675707807936437,0.07045660453976894,43.64797728885735
HD,large,bb,3,20-day return + 60-day return + 100-day return,0,2,100-day return,-0.04556523110413177,0.10279179772254796,43.64797728885735
HD,large,bb,3,20-day return + 60-day return + 100-day return,1,0,20-day return,0.03668045243350074,0.05425746877646762,56.35202271114266
HD,large,bb,3,20-day return + 60-day return + 100-day return,1,1,60-day return,0.1153506135230123,0.07791064752223482,56.35202271114266
HD,large,bb,3,20-day return + 60-day return + 100-day return,1,2,100-day return,0.13707853872520487,0.11468733297644537,56.35202271114266
INTC,large,vol,1,daily return,0,0,daily return,-0.0011088418438915308,0.035227242721729904,19.162572099978636
INTC,large,vol,1,daily return,1,0,daily return,0.000863394666810969,0.013239390214622166,80.83742790002137
INTC,large,vol,2,daily return + rolling volatility,0,0,daily return,0.00018563346309148873,0.028597479961140624,35.20615253151036
INTC,large,vol,2,daily return + rolling volatility,0,1,rolling volatility,0.025994810630747902,0.009902398141460175,35.20615253151036
INTC,large,vol,2,daily return + rolling volatility,1,0,daily return,0.0005818080662750328,0.013512694412001095,64.79384746848964
INTC,large,vol,2,daily return + rolling volatility,1,1,rolling volatility,0.012903644088024432,0.003722724138907757,64.79384746848964
INTC,large,vol,3,daily return + rolling volatility + absolute return,0,0,daily return,-0.013956115788617404,0.014939922671444903,47.51121555223243
INTC,large,vol,3,daily return + rolling volatility + absolute return,0,1,rolling volatility,0.0177192964495188,0.009422423008792471,47.51121555223243
INTC,large,vol,3,daily return + rolling volatility + absolute return,0,2,absolute return,0.013998616525194976,0.014900107137688223,47.51121555223243
INTC,large,vol,3,daily return + rolling volatility + absolute return,1,0,daily return,0.013429090421466958,0.014410654225083495,52.488784447767564
INTC,large,vol,3,daily return + rolling volatility + absolute return,1,1,rolling volatility,0.01715963718686706,0.008668295235168773,52.488784447767564
INTC,large,vol,3,daily return + rolling volatility + absolute return,1,2,absolute return,0.013440620490900848,0.014399900887243241,52.488784447767564
INTC,large,bb,1,20-day return,0,0,20-day return,-0.07582982311089904,0.06185916744930789,42.583392476933994
INTC,large,bb,1,20-day return,1,0,20-day return,0.06473525652682707,0.06401616129479556,57.416607523066
INTC,large,bb,2,20-day return + 60-day return,0,0,20-day return,-0.03122280639221864,0.08940150413829599,55.784244144783536
INTC,large,bb,2,20-day return + 60-day return,0,1,60-day return,-0.09261139173562874,0.07712354315879501,55.784244144783536
INTC,large,bb,2,20-day return + 60-day return,1,0,20-day return,0.05046297309242257,0.07832356928820032,44.215755855216464
